rowid,kepid,koi_disposition,koi_pdisposition,koi_fpflag_ss,koi_fpflag_co,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag,label
8125,10989032,FALSE POSITIVE,FALSE POSITIVE,0,0,2.305097141,133.705069,1.286,1.9378,5385.612499999999,56.65125,2753.0,2761.2975000000006,133.4,7256.5,4.085,2.0783750000000003,297.39349,48.410751,13.866,0
8126,10992733,FALSE POSITIVE,FALSE POSITIVE,1,0,18.525917446,144.1948764,0.415,5.9056,5385.612499999999,56.65125,618.0,34.58,255.76250000000002,5492.0,4.533,0.887,298.80557,48.471989,15.124,0
8128,12356746,FALSE POSITIVE,FALSE POSITIVE,1,0,0.502454299,131.9221686,1.17,2.31547,5385.612499999999,43.95,2336.0,2761.2975000000006,255.76250000000002,6134.0,4.498,0.901,291.27692,51.135712,13.532,0
8129,12356914,FALSE POSITIVE,FALSE POSITIVE,1,0,27.308150159,143.504361,0.167,4.43906,5385.612499999999,47.06,523.0,17.75,255.76250000000002,5541.0,4.574,0.739,291.3735,51.153381,15.529,0
8130,12365015,FALSE POSITIVE,FALSE POSITIVE,0,0,0.59586463,131.9392,0.576,1.5,507.45000000000005,2.68,928.0,931.51,30.75,5779.5,4.438,1.0,295.33847,51.105068,14.343,0
8131,12367017,FALSE POSITIVE,FALSE POSITIVE,1,1,1.222127938,131.81559,1.258,2.2613,2486.5,30.32,1470.0,1107.41,200.9,5157.0,4.465,0.87,296.23392,51.141869,14.73,0
8132,12403968,FALSE POSITIVE,FALSE POSITIVE,0,0,0.589753355,131.83147,0.318,0.606,216.0,1.03,1760.0,2262.14,12.4,5414.0,4.648,0.678,289.33759,51.20903,15.832,0
8133,12418816,FALSE POSITIVE,FALSE POSITIVE,1,0,0.760935268,131.6357605,0.527,2.77023,5385.612499999999,35.68,1285.0,640.66,255.76250000000002,4675.0,4.74,0.511,296.44193,51.224319,12.402,0
8135,9959492,FALSE POSITIVE,FALSE POSITIVE,0,1,1.33258772,132.0314,0.634,5.187,70.8,1.13,1825.0,2625.26,16.0,5576.0,4.201,1.289,295.19968,46.832321,15.276,0
8140,3558803,FALSE POSITIVE,FALSE POSITIVE,0,1,1.353414369,131.67312,1.202,12.28915,610.2,56.65125,2797.125,2761.2975000000006,100.8,4850.0,3.7465000000000015,2.0783750000000003,294.94058,38.635689,12.318,0
8142,3655326,FALSE POSITIVE,FALSE POSITIVE,1,0,15.066491533,140.655427,0.988,6.2852,5385.612499999999,56.65125,932.0,177.96,255.76250000000002,5751.0,4.028,1.626,293.92529,38.738979,14.213,0
8143,3656322,FALSE POSITIVE,FALSE POSITIVE,1,0,1.831829703,132.53923,0.788,7.289,5385.612499999999,49.38,2078.0,2761.2975000000006,140.4,5269.0,3.7465000000000015,2.0783750000000003,294.16028,38.767429,13.061,0
8145,4949027,FALSE POSITIVE,FALSE POSITIVE,0,1,1.06100327,132.5257,0.0834,1.675,95.9,0.94,1793.0,2443.69,9.7,5966.0,4.493,0.961,297.88528,40.097321,15.14,0
8146,4949214,FALSE POSITIVE,FALSE POSITIVE,1,1,0.922030594,132.076361,1.242,4.367,5385.612499999999,49.63,2194.0,2761.2975000000006,255.76250000000002,6484.0,4.386,1.153,297.93069,40.014961,14.351,0
8147,4950557,FALSE POSITIVE,FALSE POSITIVE,1,0,24.714790706,149.4927345,0.781,5.06776,5385.612499999999,56.65125,901.0,155.67,255.76250000000002,6300.0,3.982,1.862,298.21442,40.0732,12.526,0
8148,5000179,FALSE POSITIVE,FALSE POSITIVE,0,0,3.6329347,131.88496,0.576,2.3,507.45000000000005,2.68,928.0,2761.2975000000006,30.75,5779.5,4.438,1.0,288.35828,40.17466,13.758,0
8149,5018787,FALSE POSITIVE,FALSE POSITIVE,1,0,0.607191908,132.0195301,0.917,1.30166,5385.612499999999,12.44,1759.0,2251.28,255.76250000000002,5370.0,4.598,0.671,293.99124,40.18964,15.428,0
8150,8345473,FALSE POSITIVE,FALSE POSITIVE,0,1,2.2502073,133.6127,0.268,2.203,260.1,19.94,2797.125,2761.2975000000006,7.8,4507.0,3.7465000000000015,2.0783750000000003,282.18466,44.359459,11.946,0
